window_id,scenario_run_id,actor_id,window_start_relative_sec,window_end_relative_sec,feature_event_count,feature_search_count,feature_config_change_count,feature_visibility_object_read_count,feature_visibility_object_write_count,feature_saved_search_modify_count,feature_dashboard_modify_count,feature_alert_modify_count,feature_permission_denied_count,feature_distinct_object_type_count,feature_search_then_modify_flag,feature_modify_then_requery_flag,label_binary,label_family,label_source,split_id
window_300_000001,scenario_004_run_001,actor_001,0,300,1,1,0,0,0,0,0,0,0,1,0,0,0,benign_investigation,post_run_verification,unassigned
window_300_000002,scenario_004_run_001,actor_001,300,600,1,0,0,0,0,0,0,0,0,1,0,0,0,benign_investigation,post_run_verification,unassigned
window_300_000003,scenario_004_run_001,actor_001,600,900,1,0,0,0,0,0,0,0,0,1,0,0,0,benign_investigation,post_run_verification,unassigned
window_300_000004,scenario_007_run_001,actor_003,0,300,2,1,0,0,0,0,0,0,1,2,0,0,0,permission_probe,post_run_verification,unassigned
window_300_000005,scenario_010_run_001,actor_001,0,300,2,1,0,1,0,0,0,0,0,2,0,0,1,evidence_laundering,post_run_verification,unassigned
window_300_000006,scenario_010_run_001,actor_001,300,600,1,0,1,0,1,0,1,0,0,1,0,0,1,evidence_laundering,post_run_verification,unassigned
window_300_000007,scenario_010_run_001,actor_001,600,900,1,0,0,0,0,0,0,0,0,1,0,0,1,evidence_laundering,post_run_verification,unassigned
window_300_000008,scenario_012_run_001,actor_003,0,300,2,1,0,1,0,0,0,0,0,2,0,0,1,alert_suppression,post_run_verification,unassigned
window_300_000009,scenario_012_run_001,actor_003,300,600,1,0,1,0,1,0,0,1,0,1,0,0,1,alert_suppression,post_run_verification,unassigned
window_300_000010,scenario_013_run_001,actor_001,0,300,2,1,0,1,0,0,0,0,0,2,0,0,0,benign_alert_tuning,post_run_verification,unassigned
window_300_000011,scenario_013_run_001,actor_001,300,600,1,0,1,0,1,0,0,1,0,1,0,0,0,benign_alert_tuning,post_run_verification,unassigned
window_300_000012,scenario_013_run_001,actor_001,600,900,1,0,0,0,0,0,0,0,0,1,0,0,0,benign_alert_tuning,post_run_verification,unassigned
